"","code","x2012","x2010","x2008","x2006","x2004","x2002","x2000","x1998","x1996","x1994","x1992"
"1","AL",43464,40933,44476,37952,36629,37603,35424,36266,30302,27196,25808
"2","AK",63648,57848,63989,56418,55063,52774,52847,50692,52779,45367,41802
"3","AZ",47044,46896,46914,46657,43846,39734,39783,37090,31637,31293,29358
"4","AR",39018,38587,39586,37057,34984,32387,29697,27665,27123,25565,23882
"5","CA",57020,54283,57014,55319,49222,47437,46816,40934,38812,35331,34903
"6","CO",57255,60233,60943,55697,50886,48294,48240,46599,40950,37833,32484
"7","CT",64247,65998,64682,62404,55100,53387,50172,46508,42119,41097,40841
"8","DE",48972,55214,50702,52438,48049,49650,50365,41458,39309,35873,35678
"9","DC",65246,56928,55590,48477,43451,39070,41222,33433,31966,30116,30247
"10","FL",46071,44066,44857,45676,40535,38024,38856,34909,30641,29294,27349
"11","GA",48121,44117,46227,49344,40984,42939,41901,38665,32496,31467,28797
"12","HI",56263,59539,61521,60470,56242,47303,51546,40827,41772,42255,42113
"13","ID",47922,47050,47420,46213,44358,37715,37611,36680,34709,31536,27704
"14","IL",51738,50728,53254,48671,46077,42710,46064,43178,39554,35081,31551
"15","IN",46158,46139,46520,45407,42329,41047,40865,39731,35147,27858,28530
"16","IA",53442,49016,50142,48126,43391,41049,40991,37019,33209,33079,28743
"17","KS",50003,46054,47877,45552,41066,42619,41059,36711,32585,28322,30346
"18","KY",41086,41104,41148,39485,35610,36762,36265,36252,32413,26595,23485
"19","LA",39085,39300,39563,36488,36429,34008,30718,31735,30262,25676,25439
"20","ME",49158,47931,47228,45642,41329,36853,37266,35640,34696,30316,29617
"21","MD",71836,64201,63711,63668,57103,56407,54535,50016,43993,39198,37203
"22","MA",63656,60934,60320,55330,52019,49855,46753,42345,39494,40500,36359
"23","MI",50015,46276,49788,48647,42256,42715,45512,41821,39225,35284,32267
"24","MN",61795,52321,54925,56211,56104,54622,54251,47926,40991,33644,30981
"25","MS",36641,38160,36446,34733,34755,30882,34299,29120,26677,25400,20570
"26","MO",49764,45817,46038,44579,42137,42776,45097,40201,34265,30190,27361
"27","MT",45088,41280,42900,41105,33956,34835,32777,31577,28684,27631,26525
"28","NE",52196,52504,50728,48145,43786,42796,41750,36413,34014,31794,30048
"29","NV",47333,51200,54744,52282,47204,44958,45758,39756,38540,35871,31908
"30","NH",67819,66633,66176,61970,56815,55321,50926,44958,39407,35245,39436
"31","NJ",66692,62968,65306,68059,55275,54568,50405,49826,47468,42280,39000
"32","NM",43424,45134,42102,40028,39562,35457,35093,31543,25086,26905,25860
"33","NY",47680,49781,50461,48222,44649,41966,40744,37394,35410,31899,31051
"34","NC",41553,43830,42930,39797,40238,36515,38317,35838,35601,30114,27771
"35","ND",55766,51006,49631,41047,39220,36200,35996,30304,31470,28278,26959
"36","OH",44375,45886,46934,45900,43055,42684,42962,38925,34070,31855,31404
"37","OK",48407,43103,46111,38838,39614,36458,32432,33727,27437,26991,25284
"38","OR",51775,50602,51727,47091,40994,41802,42499,39067,35492,31456,31927
"39","PA",51904,48314,51402,48477,44106,42498,42176,39015,34899,32066,29882
"40","RI",56065,51623,53241,53736,47935,42417,42197,40686,36986,31928,30432
"41","SC",44401,41698,42155,39617,38691,37812,37570,33267,34665,29846,27578
"42","SD",49415,45352,51600,45427,41107,37873,36475,32786,29526,29733,26259
"43","TN",42995,38591,39702,40693,38072,37030,34096,34091,30790,28639,24318
"44","TX",51926,47266,46490,43307,41397,40149,38609,35783,33072,30755,27953
"45","UT",58341,56701,62537,54628,50871,47861,47550,44299,37038,35716,34251
"46","VT",55582,55928,50706,51981,47329,42999,39594,39372,32358,35802,32755
"47","VA",64632,60367,61985,57119,51141,49631,47163,43354,39211,37647,38198
"48","WA",62187,56163,56631,54723,49922,45183,42525,47421,36676,33533,33900
"49","WV",43553,42777,37994,38419,33373,29359,29411,26704,25247,23564,20271
"50","WI",53079,50351,51200,51692,45732,45903,45088,41327,40001,35388,33308
"51","WY",57512,52201,53337,47041,45397,39763,39629,35250,30953,33140,30209
